iter	Passed	Remaining
0	116	116101
1	116	58360
2	117	39061
3	118	29413
4	118	23628
5	119	19772
6	119	17009
7	120	14956
8	121	13353
9	122	12108
10	123	11067
11	123	10190
12	124	9440
13	124	8797
14	125	8245
15	126	7759
16	126	7329
17	127	6956
18	128	6624
19	129	6330
20	130	6077
21	131	5849
22	133	5655
23	134	5469
24	135	5298
25	137	5147
26	138	4996
27	139	4849
28	140	4712
29	141	4586
30	142	4467
31	144	4356
32	145	4250
33	145	4145
34	146	4045
35	147	3956
36	148	3872
37	149	3791
38	151	3725
39	152	3652
40	152	3577
41	153	3504
42	154	3437
43	155	3372
44	155	3309
45	156	3249
46	157	3193
47	158	3136
48	158	3082
49	159	3029
50	160	2978
51	160	2930
52	161	2885
53	162	2840
54	162	2795
55	163	2753
56	164	2714
57	164	2679
58	165	2645
59	166	2607
60	167	2573
61	167	2537
62	168	2504
63	169	2472
64	169	2443
65	170	2412
66	171	2383
67	171	2354
68	172	2325
69	173	2299
70	173	2272
71	174	2247
72	174	2222
73	175	2196
74	176	2172
75	176	2148
76	177	2126
77	178	2104
78	178	2084
79	179	2066
80	180	2047
81	181	2028
82	181	2005
83	182	1986
84	182	1967
85	183	1950
86	184	1933
87	184	1915
88	185	1899
89	186	1883
90	186	1867
91	187	1851
92	188	1837
93	189	1822
94	189	1809
95	190	1794
96	191	1779
97	191	1764
98	192	1750
99	192	1736
100	193	1725
101	194	1714
102	195	1701
103	195	1688
104	196	1675
105	197	1663
106	197	1650
107	198	1638
108	198	1626
109	199	1615
110	200	1604
111	200	1593
112	201	1582
113	202	1571
114	202	1561
115	203	1550
116	203	1539
117	204	1529
118	205	1519
119	205	1510
120	206	1500
121	207	1490
122	207	1480
123	208	1472
124	209	1465
125	210	1457
126	210	1447
127	211	1439
128	211	1431
129	212	1423
130	213	1414
131	213	1406
132	214	1398
133	215	1390
134	215	1382
135	216	1374
136	216	1366
137	217	1359
138	218	1351
139	218	1344
140	219	1336
141	219	1328
142	220	1321
143	221	1314
144	221	1307
145	222	1300
146	223	1294
147	224	1290
